objectid,filename,title,format,description,name,abbreviations,specialinstructions,patterninstructions,origin,subject,educationLevel,needlesize,yarnweight
garter_knitpurl,garter_knitpurl.jpg,Garter Stitch,image/jpeg,"One of the first stitches any knitters learns, garter stitch involves row after row of simple knit stitches.",,,,"Cast on any number of stitches
Row 1 (Right side): knit all stitches
Row 2 (Wrong side): knit all stitches
Repeat rows 1-2 until you have reached your desired length. 
Bind off and weave in all ends. ",,knit and purl patterns,Beginner,US - 8 ,Worsted
stockinette_knitpurl,stockinette_knitpurl.jpg,Stockinette Stitch,image/jpeg,"Stockinette is a simple stitch for any knitter. To create a fabric with stockinette stitch, one has to alternate rows of knit and purl stitches.",,,,"Cast on any number of stitches
Row 1 (Right side): knit all stitches
Row 2 (Wrong side): purl all stitches
Repeat rows 1-2 until you have reached your desired length. 
Bind off and weave in all ends.",,knit and purl patterns,Beginner,US - 11,Worsted
moss_knitpurl,moss_knitpurl.jpg,Moss Stitch,image/jpeg,"Seed stitch is a pretty, simple stitch that comes from alternating knit and purl stitches, it uses a two row repeat to create the stitch texture. Moss stitch is perfect for all projects, big and small. ",,"k: Knit
p: Purl",,"Cast on an odd number of stitches
Row 1: (Right Side) * k1, p1, rep from * to last st, k1
Row 2: (Wrong Side) k1, * p1, k1, rep from * to end
Repeat rows 1-2 until you have reached your desired length. 
Bind off and weave in all ends.",,knit and purl patterns,Beginner,US - 8 ,Worsted
irishmoss_knitpurl,irishmoss_knitpurl.jpg,Irish Moss Stitch,image/jpeg,"Like moss stitch, Irish moss stitch uses knits and purls to create a textured fabric, but instead of alternating k1, p1 rows, you simply add another repeat, making the pattern a bit taller. Irish moss stitch is perfect for all projects, big and small. ",,"k: Knit
p: Purl",,"Cast on multiples of 2
Row 1 (Right Side): * k1, p1, rep from * to end
Row 2 (Wrong Side): * k1, p1 *
Row 3: * p1, k1 *
Row 4: * p1, k1 *
Repeat rows 1-14 until you have reached your desired length. 
Bind off and weave in all ends. ",Ireland,knit and purl patterns,Beginner,US - 8 ,Worsted
doublemoss_knitpurl,doublemoss_knitpurl.jpg,Double Moss Stitch,image/jpeg,"Incredibly similar to moss stitch, double moss stitch simply has another knit or purl added to each repeat, making the pattern slightly extended. It also relies on a four row repeat rather than a two row repeat. Double moss stitch is perfect for all projects, big and small. ",,"k: Knit
p: Purl",,"Cast on multiples of 4 sts + 2
Row 1 (Right side): *k2, p2, rep from * to last 2 sts, k2
Row 2 (Wrong side) p2, *k2, p2, rep from * to end
Row 3: *p2, k2, rep from * to last 2 sts, p2
Row 4: k2, *p2, k2 rep from * to end
Repeat rows 1-4 until you have reached your desired length. 
Bind off and weave in all ends. ",,knit and purl patterns,Beginner,US - 8 ,Worsted
basketweave_knitpurl,basketweave_knitpurl.jpg,Basketweave Stitch,image/jpeg,Basketweave stitch uses knit and purl stitches to create a patern similar to a woven basket. ,,"k: Knit
p: Purl",,"Cast on multiple of 8 sts + 4
Row 1 (Wrong side): p2 *k6, p2, rep from * to end
Row 2: k2, “p6, k2, rep from * to end
Row 3: p2 *k6, p2, rep from * to end
Row 4: knit all stitches. 
Row 5: k4, p2, *k6, p2, rep from * to last 4 sts, k4
Row 6: p4, k2, *p6, k2, rep from * to last 4 sts, p4
Row 7: k4, p2, *k6, p2, rep from * to last 4 sts, k4
Row 8: knit all stitches. 
Repeat rows 1-8 until you have reached your desired length. Bind off and weave in all ends. ",,knit and purl patterns,Beginner,US - 8 ,Worsted
ribandwelt_knitpurl,ribandwelt_knitpurl.jpg,Rib and Welt Stitch,image/jpeg,Rib and welt stitch creates a cool textured zig zag fabric with basic knit and purl stitches. This stitch can be used in any project and is great for beginner knitters!,,"k: Knit
p: Purl
",,"Cast on multiples of 8
Row 1 (Right side):  *k1, p1, k1, p5, rep from * to end
Row 2 (Wrong side): k knit stitches and p purl stitches as they face you
Row 3: k1, p1, *k5, p1, k1, p1,  rep from * to last 6 sts, k5, p1
Row 4: k knit stitches and p purl stitches as they face you
Row 5: k1, *p5, k1, p1, k1,  rep from * to last 7 sts, p5, k1, p1
Row 6: k knit stitches and p purl stitches as they face you
Row 7: *k5, p1, k1, p1,  rep from * to end
Row 8: k knit stitches and p purl stitches as they face you
Row 9: p4, *k1, p1, k1, p5, rep from * to last 4 sts, k1, p1, k1, p1
Row 10: k knit stitches and p purl stitches as they face you.
Row 11: k3, *p1, k1, p1, k5, rep from * to last 5 sts, p1, k1, p1, k2
Row 12: k knit stitches and p purl stitches as they face you.
Row 13: p2, *k1, p1, k1, p5, rep from * to last 6 sts, k1, p1, k1, p3
Row 14: k knit stitches and p purl stitches as they face you.
Row 15: k1, *p1, k1, p1, k5, rep from * to last 7 sts, p1, k1, p1, k4
Row 16: k knit stitches and p purl stitches as they face you
Repeat rows 1-16 until you have reached your desired length. 
Bind off and weave in all ends. ",,knits and purls,Beginner,US - 8 ,Worsted
dandelion_florals,dandelion_florals.jpg,Dandelion Flowers,image/jpeg,"Dandelion Stitch is a beautiful decorative design that displays simple flowers on a stockinette background. It can be tricky to start off with for a beginner due to some of the actions necessary, but once you get the hang of it can go fairly quickly. ",,"k: Knit
p: Purl
p2tog: Purl two stitches together","Flower: Pull up a loop from 3 rows below and leave on right-hand needle, k2, make a second loop into the same stitch 3 rows below, k2, make a third loop into the same stitch. ","Cast on multiple of 8 sts + 1
Row 1 (Right side): knit all sts
Row 2 (Wrong side): purl all sts
Row 3: knit all stitches
Row 4: purl all stitches
Row 5: k3, flower, *k4, flower; rep from * to last 2 sts, k2
Row 6: p2, (p2tog, p1) twice, p2tog, *p3, (p2tog, p1) twice, p2tog; rep from * to last 2 sts, p2
Row 7: knit all stitches
Row 8: purl all stitches
Row 9: knit all stitches
Row 10: purl all stitches
Row 11: k7, *flower, k4; rep from * to last 2 sts, k2
Row 12: p6, *(p2tog, p1) twice, p2tog, p3; rep from * to last 3 sts, p3
Repeat rows 2-3 until you have reached your desired length. 
Bind off and weave in all ends",,floral knitting,Intermediate,US - 8 ,Worsted
daisy_florals,daisy_florals.jpg,Daisy Stitch,image/jpeg,"Daisy stitch is a beautiful floral pattern created by a four row repeat. Creating the pattern with two colors instead of one can really make it pop! Because it's so squishy, it is perfect for scarves, sweaters, and blankets. ",Star stitch,"k - Knit
p - Purl
yo - Yarn over
p1w2 - Purl one stitch wrapping yarn twice around the needle","Daisy stitch - slip 5 stitches knit wise dropping extra loops, then slip them back to left needle and (k1, yo, k1, yo, k1) into each stitch through the back loop. ","Cast on multiples of 6 sts + 1
Knit 1 row before beginning pattern. 
Row 1 (Wrong Side): p1, *(p1w2) 5 times, p1, rep from * to end
Row 2 (Right Side): k1, *daisy stitch, k1, rep from * to end
Row 3: p4, *(p1w2) 5 times, p1, rep from * to last 3 sts, p3
Row 4: k4, *daisy stitch, k1, rep from * to last 3 sts, k3
Repeat rows 1-4 until you have reached your desired length. Bind off and weave in all ends.",,floral patterns,Intermediate,US - 8 ,Worsted
cornflowers_florals,cornflowers_florals.jpg,Cornflowers,image/jpeg,"Cornflowers is an elegant floral stitch that creates lace flowers on a stockinette background. This is an advanced stitch, as it involves a lot of skill, but the final result is gorgeous! This pattern can be used in a multitude of projects, but would look very good on sweaters, socks, and shawls.",,"k - Knit
p - Purl
yo - Yarn over
p5w2 - Purl 5 stitches wrapping yarn twice for each stitch
sl1 wyif - Slip 1 stitch with yarn in front
sl1 wyib - Slip 1 stitch with yarn in back
k2tog - Knit 2 stitches together
k2tog tbl- Knit 2 stitches together through back loop","Cornflower 1 - sl4 wyib, drop first elongated stitch off needle to front of work, slip same 4 stitches back to left needle, k2tog tbl, k3, sl3 wyib dropping extra loops, drop last elongated stitch off needle to front, sl4 wyib, pick up dropped stitch with left needle, slip same 4 stitches back to left needle, k3, k2tog
Cornflower 2 - sl3 wyif, drop next elongated stitch off needle to front of work, slip same 3 stitches back to left needle, k2tog tbl, k2, sl1 wyib, drop next elongated stitch of needle to front, sl3 wyib, pick up dropped stitch with left needle, slip same 3 stitches back to left needle, k2, k2tog","Cast on multiple of 18 sts + 2
Row 1 (Right side): k5, *(k1, yo, k1, yo, k1) into next st, k17, rep from * to last 15 sts, (k1, yo, k1, yo, k1) into next st, k14.
Row 2 (Wrong side): p14, *p5w2, p17, rep from * to last 10 sts, p5w2, p5
Row 3: k1, *cornflower 1, k9, rep from * to last st, k1. 
Row 4: p14, *sl3 wyif, p17, rep from * to last 8 sts, sl3 wyif, p5
Row 5: k2, *cornflower 2, k11, rep from * to end
Row 6: purl all stitches 
Row 7: k14, *(k1, yo, k1, yo, k1) into next st, k17, rep from * to last 6 sts, (k1, yo, k1, yo, k1) into next st, k5. 
Row 8: p5, *p5w2, p17, rep from * to last 19 sts, p5w2, p14
Row 9: k10, *cornflower 1, k9, rep from * to last st, k1
Row 10: p5, *sl3 wyif, p17, rep from * to last 17 sts, sl3 wyif, p14. 
Row 11: k11, *cornflower 2, k11, rep from * to last 2 sts, k2 
Row 12: purl all stitches
Repeat rows 1-12 until you have reached your desired length. Bind off and weave in all ends.",,floral patterns,Beginner,US - 8 ,Worsted
